Time,Channel A,Channel B
(ns),(V),(mV)

152.80000210,3.22896300,178.08220000
153.20000210,3.20939300,179.06070000
153.60000211,3.20939300,181.01760000
154.00000211,3.24853200,180.03910000
154.40000212,3.17025400,179.06070000
154.80000212,3.18982400,177.10370000
155.20000213,3.20939300,178.08220000
155.60000213,3.18982400,178.08220000
156.00000214,3.15068500,179.06070000
156.40000214,3.20939300,177.10370000
156.80000215,3.17025400,177.10370000
157.20000215,3.20939300,176.12520000
157.60000216,3.18982400,177.10370000
158.00000217,3.18982400,176.12520000
158.40000217,3.17025400,177.10370000
158.80000218,3.20939300,178.08220000
159.20000218,3.22896300,178.08220000
159.60000219,3.20939300,175.14680000
160.00000219,3.18982400,176.12520000
160.40000220,3.15068500,178.08220000
160.80000220,3.17025400,177.10370000
161.20000221,3.24853200,175.14680000
161.60000221,3.15068500,178.08220000
162.00000222,3.18982400,180.03910000
162.40000222,3.13111500,177.10370000
162.80000223,3.20939300,180.03910000
163.20000223,3.15068500,179.06070000
163.60000224,3.15068500,181.01760000
164.00000225,3.15068500,180.03910000
164.40000225,3.15068500,179.06070000
164.80000226,3.17025400,180.03910000
165.20000226,3.20939300,178.08220000
165.60000227,3.17025400,179.06070000
166.00000227,3.15068500,179.06070000
166.40000228,3.17025400,181.01760000
166.80000228,3.18982400,181.99610000
167.20000229,3.20939300,181.99610000
167.60000229,3.17025400,181.99610000
168.00000230,3.15068500,179.06070000
168.40000230,3.18982400,181.01760000
168.80000231,3.20939300,182.97450000
169.20000231,3.17025400,180.03910000
169.60000232,3.17025400,181.99610000
170.00000233,3.20939300,179.06070000
170.40000233,3.17025400,181.99610000
170.80000234,3.17025400,181.01760000
171.20000234,3.13111500,183.95300000
171.60000235,3.18982400,181.01760000
172.00000235,3.20939300,182.97450000
172.40000236,3.17025400,182.97450000
172.80000236,3.18982400,183.95300000
173.20000237,3.17025400,182.97450000
173.60000237,3.22896300,185.91000000
174.00000238,3.18982400,185.91000000
174.40000238,3.22896300,188.84540000
174.80000239,3.18982400,187.86690000
175.20000239,3.15068500,189.82390000
175.60000240,3.17025400,185.91000000
176.00000241,3.18982400,185.91000000
176.40000241,3.18982400,187.86690000
176.80000242,3.15068500,187.86690000
177.20000242,3.20939300,187.86690000
177.60000243,3.20939300,187.86690000
178.00000243,3.20939300,185.91000000
178.40000244,3.17025400,185.91000000
178.80000244,3.20939300,182.97450000
179.20000245,3.15068500,185.91000000
179.60000245,3.22896300,184.93150000
180.00000246,3.20939300,183.95300000
180.40000246,3.22896300,181.99610000
180.80000247,3.20939300,182.97450000
181.20000247,3.22896300,181.99610000
181.60000248,3.13111500,181.01760000
182.00000249,3.24853200,181.99610000
182.40000249,3.26810200,181.01760000
